名稱,人名ID,姓名,出生時間,辭世時間,字,號,原名,姓,諱名,筆名,幼名,學名,譜名,別號,居室名,泮名,共同筆名,其它名稱,翻譯的語言別,原民族群,祖籍,原籍,籍貫,出生地,辭世地點,性別,理論,作家簡介,圖像預覽,引用自,圖像權利註記,網站顯示區域,提要撰寫,朝代,年號,作品出處,宗教信仰,稱譽,當代相關研究,族群,維基數據,虛擬國際權威檔案,資料外部連結,備註,原始資料,最後修改時間,url
,PER6080,黃榮洛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6080
,PER2676,黃榮煌,1928-00-00,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣雲林,,,男,,黃榮煌，男，籍貫臺灣雲林，1928年生。日治時期高等科輟學。戰後服務於嘉義農專畜產部、圖書館。現已退休，餘暇時兼事寫作。黃榮煌創作文類以小說為主。以臺灣民間抗日行動為題材，突出民間抗日的英雄性，結合民情風俗的紀錄，增添小說的傳奇色彩，也藉由戰爭之慘烈無情、人民的反抗觀點，塑造臺灣人的主體性格。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2676
,PER2677,黃漢龍,1947/8/11,0000-00-00,,,,,,翰隆,,,,,,,,,,,,,廣東汕頭,,,男,,黃漢龍，男，筆名翰隆，籍貫廣東汕頭，1947年8月11日生，1948年5月隨父母來臺迄今。國際商工職業學校、憲兵學校畢業。曾任電視工業公司股長、國民黨生產黨部書記、救國團高雄市前鎮區團委會副會長。現任《高青文粹》月刊主編、高雄市文藝協會理事。曾獲高雄市青年散文寫作比賽獎、心臟詩獎、當選高雄市社會優秀青年。黃漢龍創作文類以詩和散文為主。早期作品筆法抒情，偏重少年情懷和軍中生活之描述，後趨向理性和明朗化，題材方面從生活出發，不再只是抒情的描繪，而是擴大展開了他的真實生命，以理性的文字抗拒對現實的無奈。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2677
,PER2678,黃漢耀,1955/2/25,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣臺中,,,男,,黃漢耀，男，籍貫臺灣臺中，1955年2月25日生。中國文化大學哲學系碩士。曾任報社記者、雜誌編輯、出版社編審，目前專職寫作並從事翻譯工作。黃漢耀創作文類以散文為主，兼及兒童文學。散文內容包括兩性、心靈探索、潛意識、閱讀等主題，以哲學思辯為基調，將人生的智慧和經驗，藉由寓言或短詩的形式表達出來。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2678
,PER2679,黃碧端,1945/11/14,0000-00-00,,,,,,山間行草,,,,,,,,,,,,,福建惠安,,,女,,黃碧端，女，筆名山間行草，籍貫福建惠安，1945年11月14日生，1949年來臺迄今。臺灣大學政治系畢業，臺灣大學政治系碩士，美國威斯康辛大學文學博士。曾任美國印地安那大學客座講師，威斯康辛大學訪問學者，中山大學外文系副教授、系主任，中正文化中心國家劇院暨音樂廳副主任，教育部高等教育司司長，暨南國際大學語文教學研究中心暨外文系系主任、人文學院院長，臺南藝術大學校長。現任行政院文建會主任委員。曾獲吳魯芹散文獎、中興文藝獎章、教育部教育文化獎章。黃碧端的創作文類以散文為主。是八○、九○年代具標誌性的專欄作家，她的學養豐富，深具知識分子的良心。其作品一則思索人生世界的哲學與美，再則抒發一個學者對現實社會紛亂變化的感受，筆鋒冷靜又富悲憫之情，風格優遊從容，兼以質地綿密，說理抒情皆直指人心，瘂弦曾譽：「感性與理性兼蓄並攬，交光互影，是黃碧端散文的最大特色。」,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2679
,PER2680,黃稱奇,1925-09-00,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣彰化,,,男,,黃稱奇，男，籍貫臺灣彰化，1925年9月生。臺灣大學醫學院畢業。曾任臺大醫院內科醫師、臺灣省礦工醫院內科主任，後於基隆開業，現已退休。黃稱奇創作文類以小說為主。內容自1943年日治末期至韓戰為止，以細密寫實的筆調，紀錄了這段期間之內的求學經歷及回憶，包括醫學院學生的教育養成、戰爭時的庶民生活、國府接收、四六事件、二二八事件等等，所有事件歷歷在目，除了是十分可靠珍貴的歷史研究素材，對於臺灣的交替變動有十分具體的描寫。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2680
,PER2681,黃端陽,1970/6/7,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣臺北,,,男,,黃端陽，男，籍貫臺灣臺北，1970年6月7日生。輔仁大學中文系畢業，東吳大學中文系碩士。現任臺北市薇閣高中國文科教師。曾獲全國研究生論文獎、蕭毅虹文學獎學金、中國時報新聞獎學金、臺灣文藝季散文獎、全國大專新詩創作獎。黃端陽創作文類有論述、散文和小說，以散文為主，早期所寫之散文多以精簡的篇幅敘寫生命史中所遭逢之大小事，有親情之感念，亦有愛情之離合，或藉記憶片段的速寫來寄寓哲思性的感悟；後期寫作文風轉變，以幽默犀利的筆觸剖析當代都市的男女關係，以男性視角切入愛情中浪漫與現實的攻防守則。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2681
,PER2682,黃維君,1952/11/20,0000-00-00,,,黃憲東,,,,,,,,,,,,,,,,臺灣雲林,,,男,,黃維君，男，本名黃憲東，籍貫臺灣雲林，1952年11月20日生。政治大學東方語文學系畢業，美國聖地牙哥大學人力資源開發中心結業。曾任民進黨中央評議委員、中央執行委員、花蓮縣縣議員、東臺灣區域發展同學會理事長，為長廊詩社發起人之一。現任行政院東部聯合服務中心副執行長。黃維君創作文類以詩為主。詩作早期蘊涵對真、愛、美的永恆信仰，後在婉約的情調之外，注入知性力量，表現其生命的執著與剛健。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2682
,PER7681,黃維特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7681
,PER2683,黃肇松,1948/2/12,0000-00-00,,,,,,,,,,,,,,,,,,,廣東梅縣,臺灣苗栗,,男,,黃肇松，男，籍貫廣東梅縣，1948年2月12日生於臺灣苗栗。政治大學東方語文系畢業，政治大學新聞系碩士，美國紐約大學政治系碩士。歷任行政院新聞局科員、專員、編審、科長、駐美一等新聞祕書，《中國時報》駐紐約特派員、總編輯、社長，美洲《中國時報》主筆、編譯主任、採訪主任、執行副總編輯，《美洲時報周刊》總編輯，《中國時報》總管理處執行副總經理，《中國時報》集團總經理、執行董事兼《時報周刊》董事長。現任中央通訊社董事長、《中國時報》集團常務董事。黃肇松的創作文類以小說為主。小說題材多來自日常生活見聞，文筆樸實流暢。除文字創作外，黃肇松長期擔任《中國時報》報社的重要策畫、整理工作，對新聞傳播、新聞事業管理，用力頗深。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2683
,PER2684,黃肇珩,1933/2/20,0000-00-00,,,,,,,,,,,,,,,,,,,福建福州,,,女,,黃肇珩，女，籍貫福建福州，1933年1月26日（農曆）生，1949年8月來臺迄今。臺灣師範大學社會教育系新聞組畢業。曾任中央通訊社記者、國內新聞部主任，《中華日報》發行人兼總社長，臺灣師範大學、輔仁大學、中國文化大學兼任講師、副教授，正中書局總經理，《活水》文化雙週報社長兼總編輯，監察委員，並為中華民國圖書出版事業協會理事長、世界女記者與作家協會中華民國分會理事長。現任監察院高級顧問。曾獲國家文藝獎、十大傑出女青年。黃肇珩創作文類以論述、散文、報導文學及傳記為主。多從大眾生活中擷取真實的人與事，融合新聞報導與寫實文學的特色，遍採自街頭巷尾至國際舞臺的形形色色，以平實明確的詞句，映現出人生中富有積極啟示性的層面，交織探討生命實質與意義的篇章。《記者：黃肇珩──記者生涯與真實人生》一書記載她26年的記者生涯與真實人生，也有身為女性自我覺醒的印記，更能代表國內採訪文化的縮影。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2684
,PER2685,黃慧鶯,1951/1/3,0000-00-00,,,,,,,,,,,,,,,,,,,高雄市,,,女,,黃慧鶯，女，籍貫高雄市，1951年1月3日生。政治大學歷史系畢業。曾任國中教師、出版社編輯，任職於畫廊。現任北風藝廊公司企畫，並從事文學、繪畫創作與翻譯。曾獲自立晚報短篇小說獎、時報文學獎散文佳作。黃慧鶯創作文類包括散文和小說。散文描寫家庭及生活的體驗；小說題材多以愛情故事為主，筆觸細膩，短篇小說〈無愛〉的文風被認為有張愛玲的影子。寫作態度積極嚴肅，講求自然的規律。近年來亦翻譯多種有關家庭婚姻之書籍，並在臺北、吉隆坡、韓國等地舉辦現代畫展。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2685
,PER7130,黃慶榮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7130
,PER2686,黃輝,1930/1/27,0000-00-00,,,黃銚輝,,,,,,,,,,,,,,,,四川射洪,,,男,,黃輝，男，本名黃銚輝，籍貫四川射洪，1930年1月27日生，1949年8月隨軍隊來臺。陸軍官校24期畢業。曾任排長、連長、參謀、臺南一中軍訓教官，1970年退役後曾任《世界論壇報》主編，創辦彩虹出版社，擔任發行人兼社長。現已退休。黃輝創作文類以小說為主，兼及散文。他的小說以描寫臺灣基層社會為主，題材廣泛，所寫人物大多以身邊真實人物為藍本，文筆簡練、人物刻畫入微。1971年創辦彩虹出版社，並成立「彩虹青年文藝獎」，鼓勵青年人創作，十多年的時間裡，共出版文藝作品260餘種。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2686
,PER6081,黃震南,,,,,,,,,,,,,,,,,,,,,,,,男,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6081
,PER7333,黃學雯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7333
,PER6082,黃憲作,,,,,,,,,,,,,,,,,,,,,,,,男,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6082
,PER7292,黃憶欣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7292
,PER2687,黃樹根,1947/7/12,2010/9/27,,,,,,"黎明
林南",,,,,,,,,,,,,臺灣高雄,,,男,,黃樹根，男，筆名林南、黎明，1947年7月12日生於高雄，2010年9月27日辭世，享年64歲。臺南師範專科學校（現臺南大學）、高雄師範學院（高雄師範大學）夜間部國文系畢業。曾任國小教師。曾與黃金國、羊子喬、黃勁連、杜文靖等人創辦主流詩社，發行《主流》詩刊，並為笠詩社同仁、臺灣筆會永久會員。曾獲笠詩獎、吳濁流文學獎、鳳邑文學獎等獎項。黃樹根創作文類有詩、散文及小說。早期詩作風格浪漫，散文亦唯美抒情。後期轉為批判現實社會，取材廣泛，寫作大量現實詩、抗議詩、政治詩等。小說充分刻畫了現代人的荒蕪、苦悶、疏離及幻滅。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2687
,PER2688,黃翰荻,1951-00-00,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣基隆,,,男,,黃翰荻，男，籍貫臺灣基隆，1951年生。臺灣大學科學系畢業，現就讀紐約藝術專科盟校。曾為《中國時報》、《自由時報》、《工商時報》、「文星」雜誌等專欄作家。現從事藝術工作，兼事寫作。黃翰荻的創作文類有論述和散文。論述為多藝術評論，融入情感和個人經驗，關心藝術創作本身，且擴及其所在的大環境；散文為生活記事及與藝術相關之心得；另長期致力於西洋藝術理論的引進，譯有《泰戈爾自傳》、《現代藝術意義之探索》、《藝術對談錄》等。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2688
,PER2690,黃錦堂,1936-00-00,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣雲林,,,男,,黃錦堂，男，籍貫臺灣雲林，1936年生。臺灣大學畢業。曾任旅行記者，中學教員，工廠經理等職。現已退休。黃錦堂的創作文類有論述、散文和小說。小說以短篇為主，題材來自生活瑣事，文筆樸實流暢；除創作亦從事翻譯文學的譯註工作，譯有《歐美短篇小說選譯》。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2690
,PER609,黃錦樹,1967/11/9,0000-00-00,,,,,,,,,,,,,,,,,,,福建南安,馬來西亞,,男,,黃錦樹，男，籍貫福建南安，1967年11月9日生於馬來西亞，1986年來臺迄今。臺灣大學中文系畢業，淡江大學中文系碩士，清華大學中文系博士。曾任暨南國際大學中文系講師、副教授。現任暨南國際大學中文系教授。曾獲大馬鄉青小說獎、客聯小說獎、時報文學獎、聯合文學新人獎、聯合報文學獎、世界華文成長小說獎、洪醒夫小說獎等獎項。黃錦樹創作文類有論述、小說。黃錦樹的小說文字精鍊，意象繁複，內容時常出現熱帶暴雨、膠林、歷史記憶、政治憂鬱等意象，反映作者長期努力尋找身分的心靈。此外，他也研究馬華文學，評論臺灣文學，企圖藉文學及文化生產的方式，觀察中國性與現代性的弔詭複雜現象，充分展現其博大縱深及獨特的學術視野。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER609
,PER2689,黃錫淇,1951/3/28,0000-00-00,,,,,,黃石甫,,,,,,,,,,,,,臺灣宜蘭,,,男,,黃錫淇，男，筆名黃石甫，籍貫臺灣宜蘭，1951年3月28日生。中國文化大學中文研究所學分班結業，九歌小說寫作班及華視編劇研究班結業。現任康寧護專、空中大學兼任講師。曾獲教育部文藝創作獎、臺灣省文學獎、臺北律師公會法律文學獎。黃錫淇的創作文類以小說為主。其短篇小說大都為推理故事，散見於報章雜誌；長篇小說則以臺灣弱勢族群及社會問題為寫作題材，小說場景及人文風情均經過實地考察。此外，作者有意藉作品來探討外遇與法律為核心的許多問題。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2689
,PER2691,黃龍杰,1964/5/11,0000-00-00,,,,,,半嗔半笑生,,,,,,,,,,,,,臺北市,,,男,,黃龍杰，男，筆名半嗔半笑生，籍貫臺北市，1964年5月11日生。成功大學外文系畢業，美國南達科塔大學災難心理衛生所結業，美國維吉尼亞大學心理諮商師教育所碩士。曾為臺北市立療養院臨床心理師，臺北市社區心理衛生中心推廣組組長，心理測驗諮商學苑兼任臨床心理師。現任中華民國臨床心理師公會常務理事，「中崙聯合診所」臨床心理師，陽光社會福利基金會顧問。曾獲中央日報文學獎、聯合報新詩獎、鹽分地帶文藝創作競賽等獎項。黃龍杰的創作文類有論述和散文。論述綜觀心理治療的議題，兼具知識性和實用性，結合文學和心理醫學，書寫角度獨特；詩作以嘲弄的筆觸，冷靜而嚴肅的紀錄他的反省與批判，檢視臺灣的種種問題，氣勢磅礡，寓意深遠。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2691
,PER2692,黃聲遠,1961-00-00,2005-06-00,,,,,,甫仙,,,,,,,,,,,,,臺灣嘉義,,,男,,黃聲遠，男，筆名甫仙，籍貫臺灣嘉義，1961年生，2005年6月辭世，得年44歲。嘉南藥專畢業。曾從事藥品製造及業務，國樂教室，文具批發等工作，文藝列車出版社發行人。曾參與「乾坤詩社」、「新港文教基金會」的創立。曾獲臺灣新聞報年度最佳散文作家獎。黃聲遠的創作文類以散文為主。作品處理人生中感人的題材和人文反省，自我定位的思考流露出踏實的生活態度，文風自然明暢，細膩而不矯情。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2692
,PER7435,黃襄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7435
,PER7145,黃鴻飛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7145
,PER7285,黃瀅權,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7285
,PER7079,黃瓊誼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7079
,PER6083,黃豐隆,,,,,,,,,,,,,,,,,,,,,,臺中,,男,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6083
,PER6084,黃願,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6084
,PER6085,黃麗如,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6085
,PER2693,黃麗貞,1939/10/12,0000-00-00,,,,,,"黃鸝
如意",,,,,,,,,,,,,廣東台山,香港,,女,,黃麗貞，女，筆名黃鸝、如意，籍貫廣東台山，1939年10月12日生於香港，1958年來臺迄今。臺灣師範大學國文系畢業。歷任臺灣師範大學助理教授、講師、副教授、教授，韓國啟明大學中文系客座教授，中國國民黨中央婦女工作會副主任。現已退休。黃麗貞創作文類包括論述、散文與小說。於教學之餘，除專注中國古典戲曲之研究外，並從事散文及小說之創作。她的散文，多以輕快流麗的筆觸，表達平凡人生的點點滴滴。小說則以日常生活、各種社會問題為素材，充滿溫馨的感覺。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2693
,PER7531,黃麗穗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7531
,PER7187,黃寶玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7187
,PER2695,黃寶蓮,1956/4/15,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣桃園,,,女,,黃寶蓮，女，籍貫臺灣桃園，1956年4月15日生。中國文化大學中文系文藝組畢業。曾任雜誌社編輯採訪，報社特約撰稿，自1983年起即先後居住紐約、香港、倫敦。現旅居香港，專事寫作。黃寶蓮的創作文類有散文、小說兼及報導文學。散文以旅行為主題，談論各國獨特的風土民情，也有作者對這世代的反省與哲思；近年從旅遊拓展到飲食題材，漫談中西飲食之異同。小說從早期的談死亡、寫情愛，到描寫臺灣人在海外謀生的各種際遇，強調回歸簡樸自然，對於文明的種種繁瑣儀式，充滿了不耐與嘲弄。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2695
,PER2694,黃寶慧,1966/2/7,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣,,,女,,黃寶慧，女，籍貫臺灣，1966年2月7日生。輔仁大學德文系畢業，美國加州聖荷西州立大學大眾傳播碩士，哈佛大學肯尼迪政府學院公共行政所碩士。曾任《TheChinaNews》、TVBS政治組記者及主播、香港東風電視臺副總經理、無線衛星電視臺主播。現任東森亞洲臺營運長。曾獲亞洲青年領袖獎。黃寶慧創作文類以散文為主。透過留學哈佛獲得碩士學位的過程，紀錄自身在異國求學的付出，展示名校優良深刻的人文傳統，以及與各領域菁英交流結識的收穫。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2694
,PER7665,黃繼持,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7665
,PER2696,黃耀明,1940/8/19,0000-00-00,,,,,,,,,,,,,,,,,,,高雄市,,,男,,黃耀明，男，籍貫高雄市，1940年8月19日生。東吳大學外文系畢業，臺灣科技大學企業管理學碩士。曾任中國石油公司高雄煉油廠操作工、國光中學教員、洽興金屬公司總經理。現任豐暉鋼鐵公司董事長。黃耀明的創作文類以散文為主。內容多為商場競逐之餘，在各大報專欄所刊載的文章，題材多樣，有對周邊事物蟄藏的憂慮和惶恐、對臺灣社會變化脈動的觀察，更分享自身旅遊世界各地的經驗。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2696
,PER675,黃騰輝,"1931-00-00
1931-10-15",,,,,,,,,,,,,,,,,,,,,新竹,,男,,黃騰輝，男，1931年10月15日生於新竹。臺北工業專科學校（現臺北科技大學）化學工程科肄業，東吳大學法律系畢業。曾任中華民國美術設計協會總幹事，臺灣現代詩人協會常務理事，中華民國電梯協會理事長等。自1965年起，擔任《笠》詩刊發行人迄今，長年提拔文壇後進。黃騰輝創作文類以詩為主。一九五○年代活躍於《新詩》周刊、《藍星》周刊、《今日新詩》、《青潮》等刊物，而後轉戰商場，停筆多年，直至七○年代再度提筆。早年作品富於浪漫情懷，而後詩風逐漸趨向寫實，關注工商社會的經濟與生活，提出對於現實的感受與批判，筆觸銳利而具哲理。,,,,,,,,,,,,,,,,,黃騰輝，男，1931年10月15日生於新竹。,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER675
,PER7461,黃露惠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7461
,PER2698,黃驗,1953/2/17,0000-00-00,,,黃宗奇,,,,,,,,,,,,,,,,臺灣嘉義,,,男,,黃驗，男，本名黃宗奇，籍貫臺灣嘉義，1953年2月17日生。輔仁大學圖書館系畢業。歷任《自立晚報》副刊主編、《中國時報》美洲版主編、《拾穗》雜誌總編輯、實學社出版公司總編輯。現任遠流出版公司主編。黃驗創作文類以散文與小說為主。散文從歷史取材，撰寫古人的智慧與典故。小說表現作者對人生的思考歷程，段彩華在評其早期作品「在語言文字運用上，力求精簡，寧願顯露拙，不願顯露巧」。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2698
,PER2702,黃靈芝,1928/6/20,2016/3/12,,,黃天驥,,,,,,,,,,,,,,,,臺灣臺南,,,男,,黃靈芝，男，本名黃天驥，1928年6月20日生於臺南，2016年3月12日辭世，享年88歲。臺灣大學外文系肄業。1951年與錦連、羅浪等人組織日文文藝會，1970年依中和與一、東早苗的建議，創設「臺北俳句會」並任代表，每年刊行《臺北俳句集》，並曾於臺北縣縣民大學俳句教室授課。曾參與臺北相思樹俳句會、臺陽美術協會。曾獲吳濁流文學獎、日本正岡子規國際俳句賞、臺灣文學家牛津獎，並獲日本天皇頒贈旭日小綬章。黃靈芝創作文類以詩、小說為主，兼有俳句、短歌、評論、散文。作品多以日文寫成，亦有少數中文、法文創作。其作品多描寫戰後的臺灣社會及臺灣人的心境，亦因年輕時經歷父喪，並身染結核病，創作主題多涉及死亡議題。詩創作方面，幽默、童趣、富有哲理與嶄新的詩是其特色，以詩發出生活在這個時代裡的聲音；而在日語短歌與俳句的領域裡，亦著力甚深。其為古文物收藏家，尤對古玉器鑽研甚深，曾發表論文數篇、小說〈宋王之印〉及〈臺灣玉賈傳〉等，將收集古董愛好者的喜悅與刺激，描寫得淋漓盡致。另有雕塑創作，作品曾入選巴黎國際青年藝術展，並獲臺灣省全省美術展覽會第一等。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2702
,PER2699,黃驤,1916/2/21,2008/1/16,,,,,,穆基,,,,,,,,子珍,,,,,浙江平湖,,,男,,黃驤，男，別號子珍，筆名穆基，籍貫浙江平湖，1916年2月21日生，1949年來臺，2008年1月16日辭世，享年92歲。陸軍指揮參謀大學（現陸軍指揮參謀學院）正六期、美國陸軍工兵學校（U.S.ArmyEngineerSchool）高級班、美國三軍工業大學（TheIndustrialCollegeoftheArmedForces，現美國國防大學）國防經濟班畢業。中日戰爭期間，曾任少尉、排長、少校等；來臺後，曾任工兵學校主任教官、工程系主任、教育處長，《國語日報》專欄編輯、主筆，《聯合報》專欄組特約編輯、國際新聞中心顧問等。黃驤創作文類以散文為主。1970年代以專欄知名，多以勵志文章與兩性問題為寫作主題，在《國語日報》專欄「燈塔」撰寫青少年勵志短文，文字平易暢達而深中肯綮，饒富哲理趣味；後在《聯合報》專欄「男女之間」撰寫兩性之間的性、愛與婚姻方面的文章，頗受歡迎。另有翻譯作品，包括科學、文學、音樂及國際分析等著作，如《包可華專欄精粹》、《快馬郵遞士》。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2699
,PER2644,黃玠源,1971/12/27,0000-00-00,,,,,,辛玠,,,,,,,,,,,,,臺灣臺南,,,男,,黃玠源，男，筆名辛玠，籍貫臺灣臺南，1971年12月27日生。高雄師範大學國文系畢業，中山大學中文碩士。1994年起於臺南縣文賢國中任教迄今。曾任風燈詩社社長、主編。曾獲臺灣省巡迴文藝營新詩獎、國軍新文藝金像獎、南瀛文學獎等獎項。黃玠源創作文類以詩為主。「南方」的意象化為詩中斑斕鮮明的色彩，透過「鄉土」與「童稚」的視角觀看世界，賦予事物全新的秩序。簡政珍言其：「在平淡的文字中散發出詩的魅力，在日常的文字中讓讀者聽到語意的迴響。」,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2644
,PER7304,黃迺毓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7304
,PER6366,黃靈芝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6366
,PER2703,黑子,1925/11/8,0000-00-00,伍得,,史伍,,,,,,,,,,,,,,,,河北良鄉,,,男,,黑子，男，本名史伍，字伍得，籍貫河北良鄉，1925年11月8日生，1953年來臺迄今。七七盧溝橋事變後離家，抗戰期間在西南大後方就讀中學，1943年於貴陽參加青年軍第一期，1944年隨軍遠征印緬，於軍旅生活中發表第一首詩作「我有一支303」，1959年退役後，即專事寫作。黑子的創作文類以詩為主，兼及傳記。來臺後繼續新詩創作，常在《現代詩》、《創世紀》詩雜誌、《幼獅文藝》報刊上發表詩作。詩作紀錄了他的生命歷程，時而高歌年輕時的夢想、對現實的關懷，又時而傾洩出重返家鄉的欣喜、對故土親情的摯愛。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2703
,PER6086,黑俠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6086
,PER6766,黑馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6766
,PER6891,嘟嘟蛙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6891
